name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Астана, Қазақстан",2016-12-01,-0.8,-10,-4.7,-4.6,-16.9,-10.3,-8.8,73.4,0,0,0,,0,10,37.1,28.8,209.6,1015.1,74.1,10,48.1,4.1,2,,2016-12-01T08:56:11,2016-12-01T17:10:19,0.06,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"35188099999,UACC"
"Астана, Қазақстан",2016-12-02,-3.5,-13,-8.2,-7.7,-23.2,-15.6,-10.3,84.7,0,0,0,,0,9,32,28.8,52.2,1022.2,93.6,9.5,31.3,2.8,2,,2016-12-02T08:57:32,2016-12-02T17:09:44,0.09,Overcast,Cloudy skies throughout the day.,cloudy,"35188099999,UACC"
"Астана, Қазақстан",2016-12-03,0,-18,-11.2,-5.9,-28.3,-19.5,-13.6,82.8,0.2,100,4.17,snow,0,8.7,54,36,100.9,1019.2,76,9.9,31.3,2.6,2,,2016-12-03T08:58:52,2016-12-03T17:09:13,0.13,"Snow, Partially cloudy",Partly cloudy throughout the day with afternoon snow.,rain,"35188099999,UACC"
"Астана, Қазақстан",2016-12-04,2.1,-3.3,-0.4,-3.8,-12.7,-7.8,-2.4,86.5,1.6,100,8.33,"rain,snow",0.6,7.6,79.2,57.6,227.3,1005.6,99.1,5.6,26,2.2,1,,2016-12-04T09:00:10,2016-12-04T17:08:45,0.16,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,snow,"35188099999,UACC"
"Астана, Қазақстан",2016-12-05,-2,-10,-6.6,-9.2,-20.3,-15,-8.4,87,4,100,8.33,"rain,snow",0.9,8,73.9,61.2,240.6,1017.3,88.8,5.2,39.2,3.3,2,,2016-12-05T09:01:25,2016-12-05T17:08:20,0.2,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,snow,"35188099999,UACC"
"Астана, Қазақстан",2016-12-06,-3,-18,-8.4,-7.5,-26.4,-15.7,-10.1,88.1,4.3,100,8.33,snow,0.8,13.4,38.9,28.8,236.2,1020,77.4,7.7,32.5,2.8,2,,2016-12-06T09:02:38,2016-12-06T17:07:58,0.23,"Snow, Partially cloudy",Partly cloudy throughout the day with snow.,snow,"35188099999,UACC"
"Астана, Қазақстан",2016-12-07,-10,-19,-13.9,-15.2,-26.3,-20.9,-16.1,83.1,0,0,0,,0,14.9,33.5,18,199.6,1021.4,71.9,9.3,50.7,4.2,3,,2016-12-07T09:03:50,2016-12-07T17:07:40,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"35188099999,UACC"
"Астана, Қазақстан",2016-12-08,-5.7,-12.3,-8.4,-13,-19.4,-16.1,-11.1,81,0,0,0,,0,14.3,36.4,28.8,195.8,1017.8,90.1,10,42.7,3.6,2,,2016-12-08T09:04:58,2016-12-08T17:07:24,0.3,Overcast,Cloudy skies throughout the day.,cloudy,"35188099999,UACC"
"Астана, Қазақстан",2016-12-09,-5,-22,-14.9,-12.9,-35.9,-25.8,-17.5,80.7,2,100,4.17,snow,0.5,14.7,68.4,43.2,226.8,1011,87.8,4.1,43.6,3.7,2,,2016-12-09T09:06:05,2016-12-09T17:07:12,0.34,"Snow, Partially cloudy",Partly cloudy throughout the day with afternoon snow.,snow,"35188099999,UACC"
"Астана, Қазақстан",2016-12-10,-12,-17.7,-14.6,-21.9,-28.2,-25.5,-17.6,77.9,0.7,100,8.33,snow,0,13.4,41,39.6,203,1017.1,77.3,6.3,43.9,3.8,2,,2016-12-10T09:07:09,2016-12-10T17:07:04,0.37,"Snow, Partially cloudy",Partly cloudy throughout the day with snow.,snow,"35188099999,UACC"
"Астана, Қазақстан",2016-12-11,-2,-12.9,-7.1,-10.3,-22.4,-16.6,-9.9,80.8,0.4,100,4.17,"rain,snow",0.5,12.4,64.8,54,192.2,1009.4,90.8,4.4,29.5,2.7,1,,2016-12-11T09:08:10,2016-12-11T17:06:59,0.4,"Snow, Rain, Overcast",Cloudy skies throughout the day with early morning snow or rain.,snow,"35188099999,UACC"
"Астана, Қазақстан",2016-12-12,1,-11,-1.6,-6.3,-20.6,-9.6,-2.2,95.6,4,100,8.33,"rain,snow",3.4,13.8,72,54,211.6,1003.8,97.9,2.8,21.3,1.8,1,,2016-12-12T09:09:09,2016-12-12T17:06:57,0.44,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,snow,"35188099999,UACC"
"Астана, Қазақстан",2016-12-13,0,-18,-9.2,-8.1,-26.4,-17.5,-10.6,89.3,3,100,4.17,snow,0,14.9,68.4,50.4,199.6,1019.1,84.3,8.1,35.8,3.1,2,,2016-12-13T09:10:05,2016-12-13T17:06:58,0.47,"Snow, Partially cloudy",Partly cloudy throughout the day with early morning snow.,rain,"35188099999,UACC"
"Астана, Қазақстан",2016-12-14,2.1,-1,1,-0.6,-6.8,-4.7,-0.6,89.5,1.2,100,8.33,"rain,snow",0.3,12.5,68.2,50.4,201.9,1012.8,97.3,8,24.2,2.1,1,,2016-12-14T09:10:58,2016-12-14T17:07:03,0.5,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,snow,"35188099999,UACC"
"Астана, Қазақстан",2016-12-15,0,-10,-3.3,-4.3,-17.5,-9.4,-4.3,92.9,0.8,100,4.17,"rain,snow",1.5,11.7,32,28.8,209.1,1010.2,95.4,4.6,21.1,1.8,1,,2016-12-15T09:11:48,2016-12-15T17:07:11,0.54,"Snow, Rain, Overcast",Cloudy skies throughout the day with early morning snow or rain.,snow,"35188099999,UACC"
"Астана, Қазақстан",2016-12-16,-10.5,-15,-12.6,-16.6,-23.7,-20.8,-14.4,86.3,4,100,4.17,snow,0.4,13.6,35.6,32.4,43.7,1016.5,99.4,8.2,28.9,2.3,2,,2016-12-16T09:12:36,2016-12-16T17:07:23,0.57,"Snow, Overcast",Cloudy skies throughout the day with early morning snow.,snow,"35188099999,UACC"
"Астана, Қазақстан",2016-12-17,-13,-22,-16.7,-19.9,-31.3,-24.1,-19.3,80.5,3,100,4.17,snow,1.8,14.4,38.9,25.2,252.9,1019.7,92.8,8.8,40.9,3.5,2,,2016-12-17T09:13:20,2016-12-17T17:07:38,0.61,"Snow, Overcast",Cloudy skies throughout the day with afternoon snow.,snow,"35188099999,UACC"
"Астана, Қазақстан",2016-12-18,-15.7,-22,-18,-23.1,-29.9,-26.8,-20.7,79.6,0.2,100,4.17,snow,0,12.5,36.7,28.8,218.5,1021.8,89.4,9.9,37.3,3.2,2,,2016-12-18T09:14:02,2016-12-18T17:07:56,0.64,"Snow, Partially cloudy",Partly cloudy throughout the day with afternoon snow.,snow,"35188099999,UACC"
"Астана, Қазақстан",2016-12-19,-13,-16.2,-14.5,-24.7,-28.7,-26.9,-17.2,80.2,0.6,100,8.33,snow,0.9,13,58.3,50.4,217.3,1021.2,82.9,2.2,34.2,3.1,2,,2016-12-19T09:14:41,2016-12-19T17:08:18,0.67,"Snow, Partially cloudy",Partly cloudy throughout the day with snow.,snow,"35188099999,UACC,remote"
"Астана, Қазақстан",2016-12-20,-7,-13.2,-10.4,-17.4,-25.5,-21.4,-12.5,84.9,1.2,100,8.33,snow,0.6,12.9,61.2,46.8,214.1,1021.6,100,1.1,31.5,2.7,2,,2016-12-20T09:15:16,2016-12-20T17:08:43,0.7,"Snow, Overcast",Cloudy skies throughout the day with snow.,snow,"35188099999,UACC"
"Астана, Қазақстан",2016-12-21,-6,-21,-13.4,-13.3,-32.1,-23.2,-15.5,84.4,2.8,100,8.33,snow,1.4,12.9,51.8,46.8,184.5,1020.5,95.4,2.7,32.1,2.7,2,,2016-12-21T09:15:48,2016-12-21T17:09:11,0.75,"Snow, Overcast",Cloudy skies throughout the day with snow.,snow,"35188099999,UACC"
"Астана, Қазақстан",2016-12-22,-6,-17.7,-8.2,-8,-24,-14.1,-9.7,88.9,2,100,8.33,snow,1.2,14.8,32.4,28.8,213.1,1017.6,100,6.6,32.9,2.8,2,,2016-12-22T09:16:18,2016-12-22T17:09:42,0.77,"Snow, Overcast",Cloudy skies throughout the day with snow.,snow,"35188099999,UACC"
"Астана, Қазақстан",2016-12-23,-8.4,-30,-22.8,-13.6,-39.7,-31.3,-26.1,74.6,2,100,8.33,snow,0.1,15.5,29.9,21.6,40.6,1022.6,82.5,8.3,36.1,3.1,2,,2016-12-23T09:16:44,2016-12-23T17:10:17,0.8,"Snow, Partially cloudy",Partly cloudy throughout the day with snow.,snow,"35188099999,UACC"
"Астана, Қазақстан",2016-12-24,-14,-32,-21.1,-23.9,-41.9,-32.2,-24.5,74.1,0.2,100,4.17,snow,0.4,16.6,41.4,36,229.9,1032.6,87.1,6.5,33.1,2.7,2,,2016-12-24T09:17:06,2016-12-24T17:10:55,0.84,"Snow, Partially cloudy",Partly cloudy throughout the day with early morning snow.,snow,"35188099999,UACC"
"Астана, Қазақстан",2016-12-25,-11,-18,-14.3,-18.7,-29.5,-24.7,-17.7,75.6,0.7,100,4.17,snow,0,16.8,40.7,39.6,220.1,1030.7,80.9,9.6,42,3.6,2,,2016-12-25T09:17:26,2016-12-25T17:11:36,0.87,"Snow, Partially cloudy",Partly cloudy throughout the day with early morning snow.,snow,"35188099999,UACC"
