name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Уральск, Қазақстан",2023-12-01,2,0.2,1.2,1,-4.6,-2.3,0.9,97.9,6.826,100,8.33,"rain,snow",0.4,1,28.8,25.2,184.6,1016.2,100,8.6,17.2,1.5,1,,2023-12-01T09:15:51,2023-12-01T17:30:23,0.63,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,snow,"35106099999,35108099999,UARR,35107099999"
"Уральск, Қазақстан",2023-12-02,5,-1.9,1.2,0.7,-7.4,-4.3,-0.7,88.2,7.023,100,8.33,"rain,snow",0,0.7,57.6,43.2,233.2,1006,98.5,8.9,13.9,1,1,,2023-12-02T09:17:14,2023-12-02T17:29:46,0.66,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,rain,"35106099999,35108099999,UARR,35107099999"
"Уральск, Қазақстан",2023-12-03,-1,-5,-2.5,-4,-9.3,-7.1,-5.8,78.3,0.463,100,4.17,"rain,snow",0,0.2,36,28.8,348.9,1018.2,89,10,28.6,2.5,1,,2023-12-03T09:18:35,2023-12-03T17:29:13,0.69,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain or snow.,snow,"35106099999,35108099999,UARR,35107099999"
"Уральск, Қазақстан",2023-12-04,6,-1,2.1,3.1,-7.2,-2.4,1.1,93.1,2.954,100,4.17,"rain,snow",0.6,0.7,41.4,25.2,207.1,1013,85,6.6,9.6,0.8,1,,2023-12-04T09:19:54,2023-12-04T17:28:42,0.72,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with morning rain or snow.,snow,"35106099999,35108099999,UARR,35107099999"
"Уральск, Қазақстан",2023-12-05,-2,-7,-4.2,-8,-13.7,-10.1,-7.7,76.9,0.203,100,4.17,snow,0,0.6,38.9,25.2,298.1,1019.3,92.6,9.8,21.5,1.8,1,,2023-12-05T09:21:11,2023-12-05T17:28:15,0.75,"Snow, Overcast",Cloudy skies throughout the day with late afternoon snow.,snow,"35106099999,35108099999,UARR,35107099999"
"Уральск, Қазақстан",2023-12-06,-4,-9,-5.9,-4.7,-15.3,-10.5,-9,79.2,0.451,100,4.17,snow,0,1,28.4,18,299.9,1029.9,74,10,34.1,3,2,,2023-12-06T09:22:26,2023-12-06T17:27:51,0.79,"Snow, Partially cloudy",Partly cloudy throughout the day with late afternoon snow.,snow,"35106099999,35108099999,UARR,35107099999"
"Уральск, Қазақстан",2023-12-07,-6,-13.2,-9.1,-8.9,-19.1,-14.5,-10.8,87.2,1.819,100,4.17,snow,0,1.1,22.3,21.6,39.7,1036.9,88.7,9.7,37.6,3.2,2,,2023-12-07T09:23:39,2023-12-07T17:27:30,0.82,"Snow, Partially cloudy",Partly cloudy throughout the day with morning snow.,snow,"35106099999,35108099999,UARR,35107099999"
"Уральск, Қазақстан",2023-12-08,-11,-16.1,-13.5,-13.2,-22.7,-19.8,-16,81.6,0,0,0,,0,1.4,25.9,25.2,38,1040.9,51.8,10,45.4,3.7,2,,2023-12-08T09:24:49,2023-12-08T17:27:13,0.85,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"35106099999,35108099999,UARR,35107099999"
"Уральск, Қазақстан",2023-12-09,-13.7,-19,-16.5,-20.7,-28.7,-25,-20.3,72.6,0,0,0,,0,2,30.2,21.6,67.8,1042.7,58.9,10,41.9,3.7,2,,2023-12-09T09:25:58,2023-12-09T17:26:58,0.88,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"35106099999,35108099999,UARR,35107099999"
"Уральск, Қазақстан",2023-12-10,-11,-15,-13.6,-19.3,-25.8,-22.9,-18.7,65.8,0,0,0,,0,1.9,37.1,28.8,62.9,1038.3,50.7,10.1,45.7,4,2,,2023-12-10T09:27:03,2023-12-10T17:26:47,0.91,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"35106099999,35108099999,UARR,35107099999"
"Уральск, Қазақстан",2023-12-11,-12,-19,-16,-19.7,-29.6,-25.7,-21,65.7,0,0,0,,0,1.6,37.4,32.4,90.6,1044.7,28.4,10.1,46.6,4.1,2,,2023-12-11T09:28:06,2023-12-11T17:26:40,0.95,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"35106099999,35108099999,UARR,35107099999"
"Уральск, Қазақстан",2023-12-12,-16,-22,-18.8,-26.7,-36.2,-31,-25.3,56.5,0,0,0,,0,1.7,54,39.6,115,1050.2,71.6,10.1,44.5,3.7,2,,2023-12-12T09:29:07,2023-12-12T17:26:36,0.98,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"35106099999,35108099999,UARR,35107099999"
"Уральск, Қазақстан",2023-12-13,-11.7,-19,-15.3,-20.1,-31.6,-26.2,-22.1,56.4,0,0,0,,0,1.5,46.4,43.2,113.1,1044.2,78.1,10.1,38.8,3.3,2,,2023-12-13T09:30:05,2023-12-13T17:26:35,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"35106099999,35108099999,UARR,35107099999"
"Уральск, Қазақстан",2023-12-14,-6,-12,-9.5,-13.4,-21.1,-17.5,-18.2,49.8,0,0,0,,0,1.3,38.5,32.4,107.4,1038.2,96.8,10.1,26.9,2.3,1,,2023-12-14T09:31:00,2023-12-14T17:26:38,0.05,Overcast,Cloudy skies throughout the day.,cloudy,"35106099999,35108099999,UARR,35107099999"
"Уральск, Қазақстан",2023-12-15,-6,-15,-11,-12.1,-22.7,-18.4,-17.4,60.6,0,0,0,,0,1.3,34.2,28.8,103.5,1032.7,25.7,10.1,46.2,4,2,,2023-12-15T09:31:52,2023-12-15T17:26:44,0.08,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"35106099999,35108099999,UARR,35107099999"
"Уральск, Қазақстан",2023-12-16,-7.8,-13.3,-10.2,-12.7,-22,-17.7,-13.5,77.4,1.87,100,4.17,snow,0.5,1.8,28.1,25.2,154.5,1025.3,93.3,8.7,8.5,0.7,0,,2023-12-16T09:32:42,2023-12-16T17:26:53,0.12,"Snow, Overcast",Cloudy skies throughout the day with late afternoon snow.,snow,"35106099999,35108099999,UARR,35107099999"
"Уральск, Қазақстан",2023-12-17,-6.3,-17,-8.8,-7,-23.9,-13.3,-10.1,90.2,0.037,100,8.33,snow,0,3.2,23.4,10.8,210,1022.6,95.2,10,31.6,2.7,2,,2023-12-17T09:33:28,2023-12-17T17:27:06,0.15,"Snow, Overcast",Cloudy skies throughout the day with snow.,snow,"35106099999,35108099999,UARR,35107099999"
"Уральск, Қазақстан",2023-12-18,0.3,-10,-4,-3.2,-18.8,-9.9,-4.9,93.5,1.081,100,8.33,"rain,snow",1,4.4,41.4,28.8,199.7,1013.7,100,8.3,20.1,1.9,1,,2023-12-18T09:34:12,2023-12-18T17:27:22,0.19,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,snow,"35106099999,35108099999,UARR,35107099999"
"Уральск, Қазақстан",2023-12-19,0.1,-2,-0.8,-2.8,-6.7,-4.8,-2.4,89.2,0,0,0,,0,5.2,28.8,18,240.6,1013.7,99.3,8.7,23.8,2.1,1,,2023-12-19T09:34:53,2023-12-19T17:27:41,0.25,Overcast,Cloudy skies throughout the day.,cloudy,"35106099999,35108099999,UARR,35107099999"
"Уральск, Қазақстан",2023-12-20,3.8,-2,1,-1.3,-7.3,-5.2,0.3,95.2,0.535,100,4.17,"rain,snow",0.4,4.8,54,39.6,212.6,1015.1,100,8.6,7.2,0.7,0,,2023-12-20T09:35:30,2023-12-20T17:28:04,0.26,"Snow, Rain, Overcast",Cloudy skies throughout the day with late afternoon rain or snow.,snow,"35106099999,35108099999,UARR,35107099999"
"Уральск, Қазақстан",2023-12-21,5,0.8,2.8,0.2,-5.7,-2.6,2.1,95.3,0.071,100,4.17,"rain,snow",0,7.8,45.4,36,190.8,1017.3,92.7,7.9,17.8,1.6,1,,2023-12-21T09:36:05,2023-12-21T17:28:30,0.3,"Snow, Rain, Overcast",Cloudy skies throughout the day with morning rain or snow.,rain,"35106099999,35108099999,UARR,35107099999"
"Уральск, Қазақстан",2023-12-22,1.1,-1,0.4,-4.6,-7.2,-5.8,-0.5,93.6,0.045,100,4.17,"rain,snow",0,3.8,42.1,43.2,155.4,1011.5,99.2,10,15,1.4,1,,2023-12-22T09:36:36,2023-12-22T17:28:59,0.33,"Snow, Rain, Overcast",Cloudy skies throughout the day with late afternoon rain or snow.,rain,"35106099999,35108099999,UARR,35107099999"
"Уральск, Қазақстан",2023-12-23,-0.9,-2,-1.3,-3.7,-7.4,-6.1,-2.4,92.6,0,0,0,"rain,snow",0.2,0.9,25.9,25.2,112,1000.5,99.9,8.3,11.2,1.1,1,,2023-12-23T09:37:04,2023-12-23T17:29:32,0.37,Overcast,Cloudy skies throughout the day.,cloudy,"35106099999,35108099999,UARR,35107099999"
"Уральск, Қазақстан",2023-12-24,0.1,-1,-0.4,0.1,-6.2,-3,-0.5,99.2,6.403,100,8.33,"rain,snow",3.9,2.3,34.2,18,167.8,994.3,99.9,3.6,8.1,0.7,0,,2023-12-24T09:37:28,2023-12-24T17:30:08,0.4,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,snow,"35106099999,35108099999,UARR,35107099999"
"Уральск, Қазақстан",2023-12-25,1,-3,-1.1,-4.6,-8.9,-7,-2.8,88.1,0.007,100,4.17,"rain,snow",0.2,9.1,47.2,39.6,217.3,997.3,89.9,9.9,31.5,2.7,2,,2023-12-25T09:37:50,2023-12-25T17:30:47,0.44,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with morning rain or snow.,snow,"35106099999,35108099999,UARR,35107099999"
"Уральск, Қазақстан",2023-12-26,0,-4,-2.2,-3.8,-9.9,-7.5,-3,94.1,0.009,100,4.17,"rain,snow",0.5,9.6,31.7,28.8,189.5,997.4,90.3,8.8,20.3,1.7,1,,2023-12-26T09:38:08,2023-12-26T17:31:29,0.47,"Snow, Rain, Overcast",Cloudy skies throughout the day with late afternoon rain or snow.,snow,"35106099999,35108099999,UARR,35107099999"
"Уральск, Қазақстан",2023-12-27,1,0,0.6,-2.8,-5.9,-4.2,-0.4,93.3,0.722,100,4.17,"rain,snow",0,8.4,37.1,25.2,229.8,1001.5,97,8.8,27.2,2.4,2,,2023-12-27T09:38:23,2023-12-27T17:32:14,0.5,"Snow, Rain, Overcast",Cloudy skies throughout the day with morning rain or snow.,rain,"35106099999,35108099999,UARR,35107099999"
"Уральск, Қазақстан",2023-12-28,0.4,-4,-1.3,-2.1,-12.7,-6.6,-2.2,93.7,9.86,100,8.33,"rain,snow",2.2,7.6,54,39.6,308.6,997.1,89.9,5.1,20.3,1.7,1,,2023-12-28T09:38:35,2023-12-28T17:33:02,0.54,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,snow,"35106099999,35108099999,UARR,35107099999"
"Уральск, Қазақстан",2023-12-29,-1.2,-8,-4.1,-6.7,-16.2,-10.9,-6.4,84.4,0.632,100,4.17,"rain,snow",0,12.6,57.6,36,264.4,1009.2,82.3,9.4,36.8,3.1,2,,2023-12-29T09:38:43,2023-12-29T17:33:54,0.57,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain or snow.,snow,"35106099999,35108099999,UARR,35107099999"
