name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Усть-каменогорск, Қазақстан",2022-12-01,-19,-32,-26.2,-19,-34.7,-27.4,-29.4,74.2,0,0,0,,0,10.5,9.7,10.8,45,1032.4,73.1,0.6,54.1,4.8,3,,2022-12-01T08:05:45,2022-12-01T16:30:54,0.26,Partially cloudy,Partly cloudy throughout the day.,fog,"36197099999,UASK,36208099999,35067599999"
"Усть-каменогорск, Қазақстан",2022-12-02,-19,-28,-21.9,-19,-29.9,-24.1,-24.9,76.8,0,0,0,,0,10.3,12.6,10.8,344.4,1034.9,77,2.3,44.3,3.9,2,,2022-12-02T08:07:04,2022-12-02T16:30:21,0.29,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"36197099999,UASK,36208099999,35067599999"
"Усть-каменогорск, Қазақстан",2022-12-03,-21,-32,-28.5,-21,-34.6,-29.3,-31.8,72.9,0,0,0,,0,9.2,10.8,7.2,0.4,1039.6,49.2,2.7,62.9,5.4,3,,2022-12-03T08:08:22,2022-12-03T16:29:51,0.33,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"36197099999,UASK,36208099999,35067599999"
"Усть-каменогорск, Қазақстан",2022-12-04,-14,-31,-21.4,-15,-31.6,-22.9,-24.4,77.1,0.3,100,8.33,snow,0,8.7,16.9,10.8,29.2,1031.7,75.9,2.4,46.4,4.1,2,,2022-12-04T08:09:38,2022-12-04T16:29:25,0.36,"Snow, Partially cloudy",Partly cloudy throughout the day with late afternoon snow.,snow,"36197099999,UASK,36208099999,35067599999"
"Усть-каменогорск, Қазақстан",2022-12-05,-12,-24,-18.4,-15,-32.3,-23.7,-21.3,78.1,1,100,4.17,snow,0,7.8,16.2,14.4,312.1,1036,91.7,4.3,45.1,3.9,2,,2022-12-05T08:10:51,2022-12-05T16:29:01,0.4,"Snow, Overcast",Cloudy skies throughout the day with afternoon snow.,snow,"36197099999,UASK,36208099999,35067599999"
"Усть-каменогорск, Қазақстан",2022-12-06,-19,-30,-23.8,-20,-30.4,-25.4,-26.8,76.6,0.4,100,4.17,snow,0,8.5,12.6,10.5,331.4,1039.8,79.6,3.6,50.9,4.4,3,,2022-12-06T08:12:03,2022-12-06T16:28:40,0.43,"Snow, Partially cloudy",Partly cloudy throughout the day with afternoon snow.,snow,"36197099999,UASK,36208099999,35067599999"
"Усть-каменогорск, Қазақстан",2022-12-07,-22,-32,-28.6,-22,-32.7,-29.2,-31.9,73.2,1,100,4.17,snow,0,10.2,9.7,7.2,306.6,1038.8,77.3,2.4,47,4,2,,2022-12-07T08:13:13,2022-12-07T16:28:22,0.47,"Snow, Partially cloudy",Partly cloudy throughout the day with early morning snow.,snow,"36197099999,UASK,36208099999,35067599999"
"Усть-каменогорск, Қазақстан",2022-12-08,-23.8,-34,-29.7,-23.8,-34,-29.7,-33,73.5,0.6,100,4.17,snow,0,10.4,14,3.7,326.7,1037,66.1,1.9,59,5.1,3,,2022-12-08T08:14:21,2022-12-08T16:28:08,0.5,"Snow, Partially cloudy",Partly cloudy throughout the day with early morning snow.,snow,"36197099999,UASK,36208099999,35067599999"
"Усть-каменогорск, Қазақстан",2022-12-09,-12,-27.9,-18.8,-12,-27.9,-19,-21.3,80.4,1.5,100,37.5,snow,0.2,10.8,14.4,7.2,41.1,1033.8,93.5,3.1,31.5,2.7,2,,2022-12-09T08:15:26,2022-12-09T16:27:56,0.54,"Snow, Overcast",Cloudy skies throughout the day with snow.,snow,"36197099999,UASK,36208099999,35067599999"
"Усть-каменогорск, Қазақстан",2022-12-10,-10,-28,-19.7,-11,-28,-22.2,-22.4,79.2,1,100,4.17,snow,1.2,15.5,20.2,17.7,64.6,1040.5,56.4,4.7,52.7,4.4,3,,2022-12-10T08:16:29,2022-12-10T16:27:48,0.57,"Snow, Partially cloudy",Clearing in the afternoon with afternoon snow.,snow,"36197099999,UASK,36208099999,35067599999"
